First-Name,Last-Name,Phone-Number,Birth-Day,Sex,State,Zip-Code
Mary,Wu,+1-325-638-5920,1990-10-16,F,Iowa,03390
Richard,Dunn,894.729.5648x80139,1991-09-15,M,Washington,97631
Jennifer,Thompson,+1-699-529-3058x947,1990-02-08,F,Minnesota,35711
Jerry,Rodriguez,(409)492-7811x8809,2002-06-13,M,Virginia,11435
Aaron,Ford,597-751-4006x4871,2003-11-28,M,Missouri,87003
Spencer,Moore,(399)558-4272,2003-08-25,M,North Carolina,92173
William,Austin,+1-661-669-3264x1824,2005-10-08,M,North Dakota,40530
Kari,Dunn,279.409.7794x43874,1993-02-22,F,Connecticut,38397
Dylan,Woods,(794)348-4091x369,1998-12-08,M,South Carolina,30139
Alexandra,Lynch,220-595-3314,2007-10-27,F,New Jersey,24564
Lance,Lee,459-704-2035,1994-09-12,M,Missouri,82819
Mario,Brennan,635.955.8798x6372,2005-03-27,M,South Carolina,71126
Chris,Hughes,001-709-581-9535x11501,2002-09-11,M,New Mexico,93706
Elizabeth,Washington,+1-273-538-0329x896,2010-02-05,F,Alabama,54170
Katherine,Freeman,271-425-6661,2005-03-06,F,Idaho,26788
Michael,Flynn,776.589.0805,2003-10-19,M,Oklahoma,03933
Jason,Edwards,+1-259-598-4120x5342,2008-09-30,M,Minnesota,05392
Robert,Pugh,001-665-485-4262x56010,1991-11-10,M,California,70659
Christopher,Decker,672.708.6499x46428,2000-04-12,M,South Dakota,72404
Amanda,Woods,377.702.6939,1996-06-14,F,Virginia,04225
Angie,Erickson,+1-594-999-2113,1996-09-03,F,Maryland,42603
Anthony,Booth,+1-464-406-3344x4065,2009-12-09,M,California,82647
Connor,Washington,001-697-485-4554x796,1998-02-26,M,Oklahoma,01765
Joseph,Smith,001-828-317-8837x078,2001-02-09,M,Mississippi,15397
Taylor,Walsh,382-380-9036x21252,2005-10-21,F,West Virginia,46678
Michelle,Hendrix,(644)363-0884,2006-10-09,F,Oregon,48197
Andre,Hubbard,(587)963-4049,2007-06-01,M,Illinois,40881
Monica,Smith,810-686-9054,2009-08-24,F,California,98662
Amy,Estrada,636-892-0139x5352,1996-09-11,F,Minnesota,39904
Elizabeth,Wright,001-309-949-4180,1999-12-07,F,Nevada,86597
Michael,Moore,761.434.0943,2005-06-29,M,South Dakota,34761
Cathy,Jimenez,+1-925-986-5783,1996-10-09,F,Alaska,13643
Troy,Mcfarland,910-656-1289x8846,2002-12-03,M,Arizona,52392
April,Gomez,+1-895-778-8319x87723,2005-06-13,F,Nebraska,24485
